QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Team,Year
13385137.0,10203112.0,19241989.0,5509036.0,25664899.0,74004173.0,5264666.0,10241101.0,10004817.0,6920158.0,6032738.0,38463480.0,Eagles,2013
1557085.0,10799653.0,16831423.0,12778788.0,27955261.0,69922210.0,7701509.0,25013832.0,7377232.0,8579619.0,3507877.0,52180069.0,Seahawks,2013
6336958.0,15376098.0,12686896.0,6979500.0,26721984.0,68101436.0,6496528.0,8776293.0,5740835.0,10777066.0,9602477.0,41393199.0,Titans,2013
18716295.0,5070632.0,10120554.0,8013902.0,24318758.0,66240141.0,6880138.0,10234767.0,8030669.0,5894346.0,17559225.0,48599145.0,Broncos,2013
21998400.0,5036739.0,8677626.0,2998913.0,24235900.0,62947578.0,5118995.0,9523813.0,7916847.0,12704990.0,11202110.0,46466755.0,Giants,2013
11756250.0,10825134.0,14247672.0,6948519.0,18690874.0,62468449.0,15386734.0,3770636.0,7593313.0,7816547.0,16655776.0,51223006.0,Texans,2013
18193235.0,9159749.0,11679433.0,3245951.0,18150025.0,60428393.0,6485380.0,14326594.0,11034166.0,9960582.0,11598369.0,53405091.0,Saints,2013
8470554.0,15752460.0,10378281.0,4582245.0,20329032.0,59512572.0,11556066.0,24552100.0,13577945.0,5691438.0,4206849.0,59584398.0,Vikings,2013
15996516.0,5201250.0,10926398.0,8795715.0,17428226.0,58348105.0,6241425.0,13838120.0,4555052.0,11490435.0,4839588.0,40964620.0,Chargers,2013
10920140.0,6293062.0,17406642.0,6938146.0,16464048.0,58022038.0,9806798.0,8139270.0,8433728.0,7249890.0,9276181.0,42905867.0,Falcons,2013
21556666.0,3987009.0,15383546.0,4207277.0,12601451.0,57735949.0,14671559.0,7814297.0,10468126.0,4758334.0,6133807.0,43846123.0,Lions,2013
2897535.0,9182062.0,16963177.0,10569598.0,17581156.0,57193528.0,11028483.0,10194288.0,7666512.0,10696955.0,13185741.0,52771979.0,49ers,2013
14759018.0,4154535.0,12811933.0,2593765.0,20679882.0,54999133.0,5447833.0,4476989.0,15203295.0,3028114.0,13025418.0,41181649.0,Jets,2013
13013000.0,2429420.0,10223980.0,11341695.0,17211503.0,54219598.0,15831195.0,12650974.0,9100786.0,4969273.0,13957143.0,56509371.0,Packers,2013
14603953.0,3682367.0,8749814.0,4150882.0,22775490.0,53962506.0,15169500.0,6420702.0,10801171.0,7386653.0,8618787.0,48396813.0,Patriots,2013
5972967.0,2212882.0,19735321.0,4645357.0,20025614.0,52592141.0,14227749.0,9152416.0,10476684.0,4619719.0,7102431.0,45578999.0,Commanders,2013
11276471.0,12036166.0,16580067.0,2495000.0,10071052.0,52458756.0,10999363.0,18744765.0,12510915.0,3802254.0,15375000.0,61432297.0,Bears,2013
