id,apellidos_gs,nombre_gs,label_autor,género_gn,Medio_digital_de_publicación,clase_medio_digital_de_publicación_gs,Clase_medio_digital_de_publicación,Nombre_del_medio_digital_de_publicacion_gs,Dirección_txt,InicioFin_dr,año_inicio,año_fin,Presencia_de_minificción_gs,Pueblo_gs,Ciudad_de_origen_gs,País_1_gs,código_país_1_gs,País_2_gs,código_país_2_gs,Función_de_la_imagen_txt,Audio_Vídeo_b,Título_del_microrrelato_gs,Tipología_gs,Clase_de_microrrelato_1,Clase_de_microrrelato_2,Clase_de_microrrelato_3,Clase_de_parte_1,parte_1_de_microrrelato,hiperenlace_dentro_del_microrrelato,anotación_sobre_fotografía_o_vídeo,Título_de_publicación_impresa_gs,Publicación_impresa,BK_título_de_publicación_impresa,Datos_editorial_gs
1,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato1,Blog,Blog,La voz de hueso,https://anamartinezcastillo.blogspot.com/2019/02/visitantes.html,,,,,,,España,ES,,,,,Visitantes,Texto + Fotografía,MicrorrelatoConTexto,,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato1,,,,,,
2,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato2,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2877200425639989&set=a.2354073507952686&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato2,,,,,,
3,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato3,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2875171832509515&set=a.782424571784262&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato3,,,,,,
4,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato4,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2873244962702202&set=a.2354073507952686&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato4,,,,,,
5,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato5,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2870686969624668&set=a.782424571784262&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato5,,,,,,
6,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato6,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2847819631911402&set=a.2354073507952686&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato6,,,,,,
7,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato7,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2843777725648926&set=a.2354073507952686&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato7,,,,,,
8,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato8,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2822219737804725&set=a.2354073507952686&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato8,,,,,,
9,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato9,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/photo.php?fbid=2785375871489112&set=a.2354073507952686&type=3&theater,,,,,,,España,ES,,,,,,Texto + Fotografía,MicrorrelatoConTexto,MicrorrelatoSinTitulo,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato9,,,,,,
10,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato10,Blog,Blog,La voz de hueso,https://anamartinezcastillo.blogspot.com/2018/08/unidades.html,,,,,,,España,ES,,,,,Unidades,Texto + Fotografía,MicrorrelatoConTexto,,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato10,,,,,,
11,Martínez Castillo,Ana,Ana Martínez Castillo,mujer,medioDigitalDePublicacionDelMicrorrelato11,Blog,Blog,La voz de hueso,https://anamartinezcastillo.blogspot.com/2018/08/perfecto.html,,,,,,,España,ES,,,,,Perfecto,Texto + Fotografía,MicrorrelatoConTexto,,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato11,,,,,,
12,Vidal,Ana,Ana Vidal,mujer,medioDigitalDePublicacionDelMicrorrelato12,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/anavidalilla?__tn__=%2Cd-]-h-R&eid=ARBlVCcqnpC5mQPQQQ9FukDOQfIBKWRkMwQ9KhR_v6_MBfJ0Kot-o8sSPcQp1YvGv-5HEipLWStpoarN,,,,,,,España,ES,,,,,Vendo corazones rotos,Texto + Fotografía,MicrorrelatoConTexto,,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato12,,Francis Baker,,,,
13,Vidal,Ana,Ana Vidal,mujer,medioDigitalDePublicacionDelMicrorrelato13,Facebook,MedioProporcionadoPorFacebook,,https://www.facebook.com/anavidalilla?__tn__=%2Cd-]-h-R&eid=ARBlVCcqnpC5mQPQQQ9FukDOQfIBKWRkMwQ9KhR_v6_MBfJ0Kot-o8sSPcQp1YvGv-5HEipLWStpoarN,,,,,,,España,ES,,,,,La vieja del visillo,Texto + Fotografía,MicrorrelatoConTexto,,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato13,,Elisa de Armas,,,,
14,Molina López,Miguel Ángel,Miguel Ángel Molina López,hombre,medioDigitalDePublicacionDelMicrorrelato14,Blog,Blog,La microbiblioteca,https://lamicrobiblioteca.blogspot.com/,,,,,,,España,ES,,,,,El bizcocho,Texto + Fotografía,MicrorrelatoConTexto,,MicrorrelatoConFotografia,Fotografia,parte1DeMicrorrelato14,,,,,,
